Name,Designation,Photo,Profile,Avg_rating,no_ratings,id
Paromita Bose,"Associate Professor & HOD, Humanities and Social Sciences",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Paromita-Bose_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/paromita-bose/,0.0,0,203
Raj Narayanan,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Raj-Narayanan_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/raj-narayanan/,0.0,0,204
Ani Thomas,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/anil-thoms-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/ani-thomas/,0.0,0,205
Sayoni Laha,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Sayoni-Laha1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/sayoni-laha/,0.0,0,206
Tamal Kanti Paul,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/tamal_kanti_pal_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/tamal-kanti-paul/,0.0,0,207
Minhaj Abdullah,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/04/Minhaj-Abdullah.webp,https://www.mahindrauniversity.edu.in/faculty/minhaj-abdullah/,0.0,0,208
Gunjan Sharma,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/04/Gunjan-Sharma.webp,https://www.mahindrauniversity.edu.in/faculty/gunjan-sharma/,0.0,0,209
Dr. B. K. Chakravarthy,"Professor & Dean_x000D_
School of Design Innovation",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/02/Chakku.webp,https://www.mahindrauniversity.edu.in/faculty/b-k-chakravarthy/,0.0,0,210
Lalit Kumar Das,Advisor & Distinguished Visiting Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/07/LALIT-KUMAR-DAS.webp,https://www.mahindrauniversity.edu.in/faculty/lalit-kumar-das/,0.0,0,211
Shivdasini Singh Amin,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Shivdasini-Singh-Amin.webp,https://www.mahindrauniversity.edu.in/faculty/dr-shivdasini-s-amin/,0.0,0,212
Bhaskar Tamma,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/03/bashkar-tamma-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/bhaskar-tamma/,0.0,0,213
Deep Seth,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Deep-Seth_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-deep-seth/,0.0,0,214
Sonal Hukumpal Singh,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/sonal-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-sonal-hukampal-singh/,0.0,0,215
Janardhan Vistapalli,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/v-janardhn-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/v-janardhan/,0.0,0,216
Rishi Raj Bhardwaj,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/rishi-raj-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rishi-raj-bhardwaj/,0.0,0,217
J. Lakshmi Charan,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/08/J.Lakshmi-Charan.webp,https://www.mahindrauniversity.edu.in/faculty/j-lakshmi-charan/,0.0,0,218
Bhanu Prakash Busagari,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/01/Bhanu-Prakash-Busagari-1.webp,https://www.mahindrauniversity.edu.in/faculty/bhanu-prakash-busagari/,0.0,0,219
Prakash Narkhede,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/10/Prakash-Narkhede.webp,https://www.mahindrauniversity.edu.in/faculty/prakash-narkhede/,0.0,0,220
Chaitanya Solanki,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/10/Chaitanya-Solank.webp,https://www.mahindrauniversity.edu.in/faculty/chaitanya-solanki/,0.0,0,221
Raj Narayanan,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Raj-Narayanan_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/raj-narayanan/,0.0,0,222
Sayoni Laha,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Sayoni-Laha1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/sayoni-laha/,0.0,0,223
Vani Singh,Visiting Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/08/Vani-Singh.webp,https://www.mahindrauniversity.edu.in/faculty/vani-singh/,0.0,0,224
Chef K. Thirugnanasambantham,"Professor & Dean, The School of Hospitality Management",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/02/Chef-K-Thirus.webp,https://www.mahindrauniversity.edu.in/faculty/chef-k-thirugnanasambantham/,0.0,0,225
Manan Vaidya,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/04/Manan-Vaidya.webp,https://www.mahindrauniversity.edu.in/faculty/manan-vaidya/,0.0,0,226
Dr. Rajkumar Phatate,Professor & HeadCentre for Innovation and Entrepreneurship,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Rajkumar-Phatate_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajkumar-phatate/,0.0,0,227
Dr. Rajkumar Phatate,Professor & HeadCentre for Innovation and Entrepreneurship,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Rajkumar-Phatate_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajkumar-phatate/,0.0,0,228
Abhinav Chaturvedi,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/abhinav.webp,https://www.mahindrauniversity.edu.in/faculty/abhinav-chaturvedi/,0.0,0,229
Keerthi J Kadam,Associate Professor of Practice,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/03/Keerthi-J-Kadam.webp,https://www.mahindrauniversity.edu.in/faculty/keerthi-j-kadam/,0.0,0,230
Sonal Hukumpal Singh,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/sonal-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-sonal-hukampal-singh/,0.0,0,231
Ismail Akbani,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/07/Ismail-Akbani.webp,https://www.mahindrauniversity.edu.in/faculty/ismail-akbani/,0.0,0,232
Dr. Pramod Mantravadi,Professor &  HeadCentre for Executive Education,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Untitled_design__5_-removebg-preview-1.png,https://www.mahindrauniversity.edu.in/faculty/meher-pramod-mantravadi/,0.0,0,233
Dr. Rajkumar Phatate,Professor & HeadCentre for Innovation and Entrepreneurship,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Rajkumar-Phatate_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajkumar-phatate/,0.0,0,234
Shivdasini Singh Amin,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Shivdasini-Singh-Amin.webp,https://www.mahindrauniversity.edu.in/faculty/dr-shivdasini-s-amin/,0.0,0,235
Avinash Jhangiani,"Visiting Faculty, Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/08/Avinash-Jhangiani.webp,https://www.mahindrauniversity.edu.in/faculty/dr-avinash-jhangiani/,0.0,0,236
Mukesh Jain,"Visiting Faculty, Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/07/Prof.-Mukesh-Jain.webp,https://www.mahindrauniversity.edu.in/faculty/mukesh-jain/,0.0,0,237
Subramanian Chandramouli,"Visiting Faculty, Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Prof.-Subramanian-Chandramouli.webp,https://www.mahindrauniversity.edu.in/faculty/subramanian-chandramouli/,0.0,0,238
Craig Wing,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Craig-Wing.webp,https://www.mahindrauniversity.edu.in/faculty/craig-wing/,0.0,0,239
U. Srinivasa Rangan,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Rangan-Srinivasa.webp,https://www.mahindrauniversity.edu.in/faculty/u-srinivasa-rangan/,0.0,0,240
Surendra Mansinghka,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Suren-Mansinghka.webp,https://www.mahindrauniversity.edu.in/faculty/surendra-mansinghka/,0.0,0,241
Olivier Tabatoni,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Olivier-Tabatoni-1.webp,https://www.mahindrauniversity.edu.in/faculty/olivier-tabatoni/,0.0,0,242
Jamie Anderson,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Jamie-Anderson-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/jamie-anderson-1/,0.0,0,243
Richard Kolsky (Rick),"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Richard-Kolsky-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/richard-kolsky-rick/,0.0,0,244
Sudhanshu Palsule,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Sudhanshu.webp,https://www.mahindrauniversity.edu.in/faculty/sudhanshu-palsule/,0.0,0,245
Rajeshwar Upadhyaya,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Rajeshwar-Upadhyaya-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajeshwar-upadhyaya/,0.0,0,246
Jean-Sebastien LANTZ,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Prof-Lantz-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/prof-jean-sebastien-lantz/,0.0,0,247
Anton Musgrave,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Anton-Musgrave-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/anton-musgrave/,0.0,0,248
Srinivasan Ranganathan,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Srinivasan-Ranganathan-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/srinivasan-ranganathan/,0.0,0,249
Gaurav Bhalla,"Visiting Faculty,_x000D_
Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Dr-Gaurav-Bhalla-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-gaurav-bhalla/,0.0,0,250
Rajanikanth,"Visiting Faculty, Centre for Executive Education",https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/02/Rajanikanth.webp,https://www.mahindrauniversity.edu.in/faculty/rajanikanth/,0.0,0,251
Dr. Rajinder Singh Chauhan,Professor & DeanCentre for Life Sciences,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/rajinder-chauhan-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajinder-singh-chauhan/,0.0,0,252
Dr. Rajinder Singh Chauhan,Professor & DeanCentre for Life Sciences,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/rajinder-chauhan-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rajinder-singh-chauhan/,0.0,0,253
S. Ghosh,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/s-ghosh-1.webp,https://www.mahindrauniversity.edu.in/faculty/dr-s-ghosh/,0.0,0,254
Mrittika Sengupta,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Dr.-Sengupta-Mritika.webp,https://www.mahindrauniversity.edu.in/faculty/mrittika-sengupta/,0.0,0,255
Manu Smriti Singh,Associate Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Manu-Smriti-Singh-.webp,https://www.mahindrauniversity.edu.in/faculty/manu-smrti-singh/,0.0,0,256
Priyadarshini,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Priyadarshini.webp,https://www.mahindrauniversity.edu.in/faculty/priyadarshini/,0.0,0,257
Ravi Kiran Donthu,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Ravi-Kiran-Donthu.webp,https://www.mahindrauniversity.edu.in/faculty/ravi-kiran-donthu/,0.0,0,258
Aruna Kumar Chelluboyina,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/05/Aruna-Kumar.webp,https://www.mahindrauniversity.edu.in/faculty/aruna-kumar-chelluboyina/,0.0,0,259
Bipin Singh,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Bipin-Singh.webp,https://www.mahindrauniversity.edu.in/faculty/bipinsingh/,0.0,0,260
Sabeeha Hasnain,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Sabeeha-Hasnain.webp,https://www.mahindrauniversity.edu.in/faculty/sabeeha-hasnain/,0.0,0,261
Sanjeev Kumar Choudhry,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Sanjeev_Kumar-332x390-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/sanjeev-kumar/,0.0,0,262
Pijus Kanti Barman,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/01/Pijus-Kanti-Barman.webp,https://www.mahindrauniversity.edu.in/faculty/pijus-barman/,0.0,0,263
Runa Kuley,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Runa_Kuley-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/runa-kuley/,0.0,0,264
Akanksha Singh,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Akanksha_Singh_332x390_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-akanksha-singh/,0.0,0,265
Varun Kumar,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Dr.Varun_Kumar-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-varun-kumar/,0.0,0,266
Santosh Thakur,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/santosh-thakur-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-santosh-thakur/,0.0,0,267
Jayato Nayak,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/jyanto-nayko-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-jayato-nayak/,0.0,0,268
Bhaskar Paidimuddala,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/01/Bhaskar-Paidimuddala.webp,https://www.mahindrauniversity.edu.in/faculty/bhaskar-paidimuddala/,0.0,0,269
Swarit Jasial,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/04/Swarit-Jasial.webp,https://www.mahindrauniversity.edu.in/faculty/swarit-jasial/,0.0,0,270
Srishti Joshi,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/09/Srishti-Joshi.webp,https://www.mahindrauniversity.edu.in/faculty/srishti-joshi/,0.0,0,271
